"keyWord";"mainKwd";"fld"
"Contract notes";"Contract_notes";"Skills"
"Dérivé";"Derivative";"Skills"
"Français";"French";"Skills"
"KYC";"AMLKYC";"Skills"
"Money Market";"Money_Market";"Skills"
"Microsoft  Project";"MS Project";"Skills"
"Over the counter";"OTC";"Skills"
"Pays-Bas";"Netherlands";"Skills"
"Prince 2";"Prince_2";"Skills"
"Pays_Bas";"Netherlands";"Skills"
"HTML";;"Skills"
"Angular";;"Skills"
"Rust";;"Skills"
"Dutch";;"Skills"
"Néerlandais";"Dutch";"Skills"
"Italian";;"Skills"
"Italien";"Italian";"Skills"
" Fx";"Forex";"Skills"
"4Sight";;"Technologies"
"AcadiaSoft";;"Technologies"
"ACCESS";;"Technologies"
"Atlas";;"Technologies"
"COBOL";;"Technologies"
"COMET";;"Technologies"
"DEVOPS";;"Technologies"
"Finastra";"OTC";"Technologies"
"FundTrader";;"Technologies"
"IFRS";"WKFS";"Technologies"
"Java_";;"Technologies"
"JIRA";;"Technologies"
"Kondor";;"Technologies"
"MCH";;"Technologies"
"MQ_Series";;"Technologies"
"Multifond";;"Technologies"
"OneSumx";"WKFS";"Technologies"
"Oracle";;"Technologies"
"Perl";;"Technologies"
"Retail_Banking";"Atlas";"Technologies"
"Shell";;"Technologies"
"SQL";;"Technologies"
"Squash";;"Technologies"
"Sybase";;"Technologies"
"TripleA";;"Technologies"
"UNIX";;"Technologies"
"Visio";;"Technologies"
"Websphere";;"Technologies"
"WKFS";;"Technologies"
"XML";;"Technologies"
"4 Sight";"4Sight";"Technologies"
"AAA";"TripleA";"Technologies"
"Fund_Trader";"FundTrader";"Technologies"
"K+";"Kondor";"Technologies"
"MQ Series";"MQ_Series";"Technologies"
"PL SQL";"PLSQL";"Technologies"
"PLSQL";;"Technologies"
"Triple A";"TripleA";"Technologies"
"Wolters Kluwer";"WKFS";"Technologies"
"CISCO";;"Technologies"
"FRS";"WKFS";"Technologies"
"XBRL";"XML";"Technologies"
"PL/SQL";"PLSQL";"Technologies"
"TSQL";;"Technologies"
"T-SQL";"TSQL";"Technologies"
"Olympic";;"Technologies"
"T24";;"Technologies"
"VBA";;"Technologies"
"Visual Basic";"VBA";"Technologies"
"Strucured Query Language";"SQL";"Technologies"
" CSS";;"Technologies"
"Triple'A";"TripleA";"Technologies"
"4sf";"4Sight";"Technologies"
"Transact SQL";"TSQL";"Technologies"
"Postgres";;"Technologies"
